ÉçÅ[É}éö,êŒéÎ,ïOéR,å„éu,óØñG,ãÛím,è„êÏ,ìnìá,í_êU,ì˙çÇ,è@íJ,ñ‘ëñ,è\èü,ã˙òH,ç™é∫
Gagome,,,,,,,7 8 9 ,7 8 9 ,7 8 9 ,,,,,
Katakuchi-iwashi,,,,,,,5 6 7 8 9 10 11 12,,,,,7 8 9 10,7 8 9 10,7 8 9 10
Gaggra-konbu,,,,,,,,,,,,1 10 11 12,1 10 11 12,1 10 11 12
Karafuto-masu,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,,,,,,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9
Kawa-yatsume,5 6 7 8 9 10,5 6 7 8 9 10,5 6 7 8 9 10,5 6 7 8 9 10,,,,,,,,,,
Kiankou,1 2 5 6 7 11 12,1 2 5 6 7 11 12,1 2 5 6 7 11 12,1 2 5 6 7 11 12,,,,,,,,,,
Kita-murasaki-uni,5 6 7 8,,5 6 7 8,,,,1 2 3 4 5 6 7 8 9 12,,,4 5 6 7 8 9,,,,
Kichiji,,,,,,,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12
Kitsune-mebaru,3 4 5 6 10 11 12,3 4 5 6 10 11 12,3 4 5 6 10 11 12,3 4 5 6 10 11 12,,,3 4 5 6 10 11 12,3 4 5 6 10 11 12,3 4 5 6 10 11 12,3 4 5 6 10 11 12,3 4 5 6 10 11 12,,,
Kyuri-uo,,,,,,,,,,4 5,4 5,4 5,4 5,4 5
Kugashira-garei,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,,,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12
Kuro-garei,,,,,,,,,,3 4,3 4,3 4,3 4,3 4
Kuro-soi,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,,,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,,,
Kuro-maguro,10 11,10 11,10 11,10 11,,,6 7 8 9 10 11 12,6 7 8 9 10 11 12,6 7 8 9 10 11 12,,,,,
Kegani,,,,,,,,6 7 8,1 2 3 4 12,1 2 3 4 5 6 7,3 4 5 6 7 8,1 2 3 9 10 11,1 2 3 9 10 11,
Kemushi-kajika,,,,,,,10 11 12,10 11 12,10 11 12,,,,,
Koi,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11
Komai,,,,,,,,,,1 5 6 7 8 10 11 12,1 5 6 7 8 10 11 12,1 5 6 7 8 10 11 12,1 5 6 7 8 10 11 12,1 5 6 7 8 10 11 12
