ãõñº,êŒéÎ,ïOéR,å„éu,óØñG,ãÛím,è„êÏ,ìnìá,í_êU,ì˙çÇ,è@íJ,ñ‘ëñ,è\èü,ã˙òH,ç™é∫
Sakura-masu,3 4 5 ,3 4 5 ,3 4 5 ,3 4 5 ,,,,,,9 10 11 3 4 5,9 10 11 3 4 5,,,10 11 12
Saragai,7 8ÇX,7 8ÇX,7 8ÇX,7 8ÇX,,,7 8ÇX,7 8ÇX,7 8ÇX,7 8ÇX,7 8ÇX,7 8ÇX,7 8ÇX,7 8ÇX
Sanma,,,,,,,7 8 9 10,7 8 9 10,7 8 9 10,7 8 9 10,7 8 9 10,7 8 9 10,7 8 9 10,7 8 9 10
Shisyamo,,,,,,,,10,10,,,10 11,10 11,
Syako,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,,,,,,,,,,
Shirauo,5 6,,,,,,,,,,9 10 11,,,
sake,9 10 11,9 10 11,9 10 11,9 10 11,,,9 10 11 12,9 10 11,4 5 6 7 9 10 11,,9 10 11,5 6 7 9 10 11,5 6 7 9 10 11,5 6 7 9 10 11
Suketoudara,9 10 11 12 1 2 3 4 5 6,11 12 1 ,9 10 11 12 1 2 3 4 5 6,,,,10 11 12 1 2 3 4,9 10 11 12 1 2 3 ,,10 11 12 1 2 3 4 5 6,,9 10 11 12 1 2 3 4 5,9 10 11 12 1 2 3 4 5,11 12 1 2 3
Suna-garei,,4 5 ,,4 5 ,,,,,,11,7 8 9 10,,,
Surme-ika,7 8 9 10 11,7 8 9 10 11,7 8 9 10 11,7 8 9 10 11,,,6 7 8 9 10 11 12,,7 8 9 10 11,,,7 8 9 10 11,7 8 9 10 11,9 10 11 12
Zuwai-gani,3 4 5 6 11 12,3 4 5 6 11 12,3 4 5 6 11 12,3 4 5 6 11 12,,,,,,3 4 5 6 11 12,3 4 5 6 11 12,,,
Souhachi,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,,,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3,4 5 6 7 9 10 11 12 1 2 3
